site,site_name,date,participation
7,Carrollton,2/1/2020,2407
7,Carrollton,3/1/2020,2266
7,Carrollton,4/1/2020,2025
7,Carrollton,5/1/2020,1489
7,Carrollton,6/1/2020,1256
7,Carrollton,7/1/2020,1443
7,Carrollton,8/1/2020,1571
7,Carrollton,9/1/2020,1853
7,Carrollton,10/1/2020,1894
7,Carrollton,11/1/2020,1916
7,Carrollton,12/1/2020,1800
7,Carrollton,1/1/2021,1376
7,Carrollton,2/1/2021,808
7,Carrollton,3/1/2021,349
7,Carrollton,4/1/2021,6
7,Carrollton,5/1/2021,6
7,Carrollton,6/1/2021,3
7,Carrollton,7/1/2021,
7,Carrollton,8/1/2021,
7,Carrollton,9/1/2021,
7,Carrollton,10/1/2021,
7,Carrollton,11/1/2021,
8,Grand Prairie,10/1/2017,4602
8,Grand Prairie,11/1/2017,4526
8,Grand Prairie,12/1/2017,4321
8,Grand Prairie,1/1/2018,4358
8,Grand Prairie,2/1/2018,4352
8,Grand Prairie,3/1/2018,4347
8,Grand Prairie,4/1/2018,4377
8,Grand Prairie,5/1/2018,4394
8,Grand Prairie,6/1/2018,4474
8,Grand Prairie,7/1/2018,4335
8,Grand Prairie,8/1/2018,4255
8,Grand Prairie,9/1/2018,4095
8,Grand Prairie,10/1/2018,4068
8,Grand Prairie,11/1/2018,3926
8,Grand Prairie,12/1/2018,3916
8,Grand Prairie,1/1/2019,3875
8,Grand Prairie,2/1/2019,3857
8,Grand Prairie,3/1/2019,3942
8,Grand Prairie,4/1/2019,3887
8,Grand Prairie,5/1/2019,3939
8,Grand Prairie,6/1/2019,3887
8,Grand Prairie,7/1/2019,3928
8,Grand Prairie,8/1/2019,3952
8,Grand Prairie,9/1/2019,3962
8,Grand Prairie,10/1/2019,4007
8,Grand Prairie,11/1/2019,3953
8,Grand Prairie,12/1/2019,3898
8,Grand Prairie,1/1/2020,3965
8,Grand Prairie,2/1/2020,3979
8,Grand Prairie,3/1/2020,3918
8,Grand Prairie,4/1/2020,4191
8,Grand Prairie,5/1/2020,4344
8,Grand Prairie,6/1/2020,4465
8,Grand Prairie,7/1/2020,4202
8,Grand Prairie,8/1/2020,3890
8,Grand Prairie,9/1/2020,3900
8,Grand Prairie,10/1/2020,3915
8,Grand Prairie,11/1/2020,3864
8,Grand Prairie,12/1/2020,3889
8,Grand Prairie,1/1/2021,3780
8,Grand Prairie,2/1/2021,3712
8,Grand Prairie,3/1/2021,3745
8,Grand Prairie,4/1/2021,3730
8,Grand Prairie,5/1/2021,3672
8,Grand Prairie,6/1/2021,3683
8,Grand Prairie,7/1/2021,3693
8,Grand Prairie,8/1/2021,3837
8,Grand Prairie,9/1/2021,3873
8,Grand Prairie,10/1/2021,3923
8,Grand Prairie,11/1/2021,4035
9,Irving,10/1/2017,7618
9,Irving,11/1/2017,7557
9,Irving,12/1/2017,7474
9,Irving,1/1/2018,7496
9,Irving,2/1/2018,7423
9,Irving,3/1/2018,7344
9,Irving,4/1/2018,7323
9,Irving,5/1/2018,7385
9,Irving,6/1/2018,7391
9,Irving,7/1/2018,7248
9,Irving,8/1/2018,6847
9,Irving,9/1/2018,6583
9,Irving,10/1/2018,6331
9,Irving,11/1/2018,5985
9,Irving,12/1/2018,6047
9,Irving,1/1/2019,5995
9,Irving,2/1/2019,6001
9,Irving,3/1/2019,6098
9,Irving,4/1/2019,6099
9,Irving,5/1/2019,6191
9,Irving,6/1/2019,6234
9,Irving,7/1/2019,6277
9,Irving,8/1/2019,6391
9,Irving,9/1/2019,6306
9,Irving,10/1/2019,6316
9,Irving,11/1/2019,6297
9,Irving,12/1/2019,6289
9,Irving,1/1/2020,6339
9,Irving,2/1/2020,6294
9,Irving,3/1/2020,6035
9,Irving,4/1/2020,5727
9,Irving,5/1/2020,5404
9,Irving,6/1/2020,5669
9,Irving,7/1/2020,6101
9,Irving,8/1/2020,6289
9,Irving,9/1/2020,6261
9,Irving,10/1/2020,6428
9,Irving,11/1/2020,6517
9,Irving,12/1/2020,6523
9,Irving,1/1/2021,6605
9,Irving,2/1/2021,6548
9,Irving,3/1/2021,6756
9,Irving,4/1/2021,6728
9,Irving,5/1/2021,6555
9,Irving,6/1/2021,6649
9,Irving,7/1/2021,6814
9,Irving,8/1/2021,7025
9,Irving,9/1/2021,7240
9,Irving,10/1/2021,7374
9,Irving,11/1/2021,7568
10,Lancaster Road,10/1/2017,3064
10,Lancaster Road,11/1/2017,3006
10,Lancaster Road,12/1/2017,2902
10,Lancaster Road,1/1/2018,2916
10,Lancaster Road,2/1/2018,2889
10,Lancaster Road,3/1/2018,2889
10,Lancaster Road,4/1/2018,2876
10,Lancaster Road,5/1/2018,2860
10,Lancaster Road,6/1/2018,2917
10,Lancaster Road,7/1/2018,2905
10,Lancaster Road,8/1/2018,2797
10,Lancaster Road,9/1/2018,2712
10,Lancaster Road,10/1/2018,2705
10,Lancaster Road,11/1/2018,2624
10,Lancaster Road,12/1/2018,2634
10,Lancaster Road,1/1/2019,2621
10,Lancaster Road,2/1/2019,2436
10,Lancaster Road,3/1/2019,2309
10,Lancaster Road,4/1/2019,2188
10,Lancaster Road,5/1/2019,2140
10,Lancaster Road,6/1/2019,2097
10,Lancaster Road,7/1/2019,2100
10,Lancaster Road,8/1/2019,2119
10,Lancaster Road,9/1/2019,2013
10,Lancaster Road,10/1/2019,1544
10,Lancaster Road,11/1/2019,1262
10,Lancaster Road,12/1/2019,1064
10,Lancaster Road,1/1/2020,1121
10,Lancaster Road,2/1/2020,1200
10,Lancaster Road,3/1/2020,1143
10,Lancaster Road,4/1/2020,1170
10,Lancaster Road,5/1/2020,806
10,Lancaster Road,6/1/2020,540
10,Lancaster Road,7/1/2020,212
10,Lancaster Road,8/1/2020,65
10,Lancaster Road,9/1/2020,10
10,Lancaster Road,10/1/2020,4
10,Lancaster Road,11/1/2020,1
10,Lancaster Road,12/1/2020,
10,Lancaster Road,1/1/2021,
10,Lancaster Road,2/1/2021,
10,Lancaster Road,3/1/2021,
10,Lancaster Road,4/1/2021,0
10,Lancaster Road,5/1/2021,0
10,Lancaster Road,6/1/2021,0
10,Lancaster Road,7/1/2021,8
10,Lancaster Road,8/1/2021,22
10,Lancaster Road,9/1/2021,42
10,Lancaster Road,10/1/2021,51
10,Lancaster Road,11/1/2021,86
11,East Garland,10/1/2017,4614
11,East Garland,11/1/2017,4566
11,East Garland,12/1/2017,4488
11,East Garland,1/1/2018,4518
11,East Garland,2/1/2018,4434
11,East Garland,3/1/2018,4432
11,East Garland,4/1/2018,4405
11,East Garland,5/1/2018,4421
11,East Garland,6/1/2018,4431
11,East Garland,7/1/2018,4251
11,East Garland,8/1/2018,4200
11,East Garland,9/1/2018,4172
11,East Garland,10/1/2018,4071
11,East Garland,11/1/2018,3909
11,East Garland,12/1/2018,3932
11,East Garland,1/1/2019,3920
11,East Garland,2/1/2019,3836
11,East Garland,3/1/2019,3910
11,East Garland,4/1/2019,3982
11,East Garland,5/1/2019,4025
11,East Garland,6/1/2019,4039
11,East Garland,7/1/2019,4121
11,East Garland,8/1/2019,4191
11,East Garland,9/1/2019,4197
11,East Garland,10/1/2019,4216
11,East Garland,11/1/2019,4165
11,East Garland,12/1/2019,4114
11,East Garland,1/1/2020,4173
11,East Garland,2/1/2020,4274
11,East Garland,3/1/2020,4223
11,East Garland,4/1/2020,4027
11,East Garland,5/1/2020,3874
11,East Garland,6/1/2020,3994
11,East Garland,7/1/2020,4294
11,East Garland,8/1/2020,4365
11,East Garland,9/1/2020,4392
