Year,Month,Project,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Total_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,Total_Infants,Total_Children,Total_Participants,MtM_Caseload_Difference,Gen_Admin_Money,Date,Fiscal_Month,Local_Agency,Time_Shift,Fiscal_Year,FFF_Infants_Est
2017,9,5,9450,647,167,889,257,1960,168,840,699,1707,3557,7224,-127,97090.56,9/1/2017,Sep,LA 5,12/1/2017,FY17,102062.155
2017,9,7,106250,6562,1650,13534,1790,23536,1820,12081,6682,20583,35351,79470,-667,915494.4,9/1/2017,Sep,LA 7,12/1/2017,FY17,975649.9567
2017,9,10,3900,337,67,169,193,766,75,195,469,739,1294,2799,-9,39409.92,9/1/2017,Sep,LA 10,12/1/2017,FY17,68479.47167
2017,9,11,6700,482,119,608,284,1493,127,555,705,1387,2217,5097,-239,63610.56,9/1/2017,Sep,LA 11,12/1/2017,FY17,102938.225
2017,9,12,81900,5715,799,8084,1539,16137,869,7718,4158,12745,35318,64200,-816,821760,9/1/2017,Sep,LA 12,12/1/2017,FY17,607116.51
2017,9,13,30250,2287,166,2545,962,5960,178,2279,2652,5109,12750,23819,-180,381104,9/1/2017,Sep,LA 13,12/1/2017,FY17,387222.94
2017,9,17,34400,2730,518,3168,1357,7773,532,3067,3625,7224,14794,29791,-621,338127.85,9/1/2017,Sep,LA 17,12/1/2017,FY17,529292.2917
2017,9,19,3600,276,31,258,107,672,35,227,317,579,1522,2773,-26,42593.28,9/1/2017,Sep,LA 19,12/1/2017,FY17,46285.69833
2017,9,20,7200,373,120,293,265,1051,128,226,702,1056,2345,4452,-22,71232,9/1/2017,Sep,LA 20,12/1/2017,FY17,102500.19
2017,9,21,4600,347,127,123,269,866,131,123,632,886,1603,3355,-42,47238.4,9/1/2017,Sep,LA 21,12/1/2017,FY17,92279.37333
2017,9,22,8050,782,154,316,577,1829,160,297,1444,1901,3215,6945,-11,93340.8,9/1/2017,Sep,LA 22,12/1/2017,FY17,210840.8467
2017,9,24,4550,397,30,561,92,1080,42,547,278,867,2015,3962,23,60856.32,9/1/2017,Sep,LA 24,12/1/2017,FY17,40591.24333
2017,9,26,84000,5946,887,8495,2480,17808,944,8034,6559,15537,31259,64604,-996,764911.36,9/1/2017,Sep,LA 26,12/1/2017,FY17,957690.5217
2017,9,27,23700,2210,623,1328,1659,5820,679,1121,4128,5928,9746,21494,-75,368622.1,9/1/2017,Sep,LA 27,12/1/2017,FY17,602736.16
2017,9,28,2350,131,42,134,75,382,45,124,249,418,899,1699,-52,22834.56,9/1/2017,Sep,LA 28,12/1/2017,FY17,36356.905
2017,9,29,15100,1114,337,1603,553,3607,353,1527,1493,3373,6726,13706,-233,206138.24,9/1/2017,Sep,LA 29,12/1/2017,FY17,217995.4183
