Date,Total_Participants,Total_Women,Total_Infants,Total_Children,Project,Year,Local_Agency,Month,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,MtM_Caseload_Difference,Gen_Admin_Money,Fiscal_Month,Time_Shift,Fiscal_Year,FFF_Infants_Est
2019-04-01,10491.578125,2879.109375,2757.125,4855.34375,0,2019,Texas,,,,,,,,,,,,,,,
2019-05-01,10571.609375,2916.390625,2777.578125,4877.640625,0,2019,Texas,,,,,,,,,,,,,,,
2019-06-01,10602.328125,2936.546875,2766.171875,4899.609375,0,2019,Texas,,,,,,,,,,,,,,,
2019-07-01,10712.90625,2986.5625,2797.015625,4929.328125,0,2019,Texas,,,,,,,,,,,,,,,
2019-08-01,10761.9375,3001.984375,2798.96875,4960.984375,0,2019,Texas,,,,,,,,,,,,,,,
2019-09-01,10761.390625,3001.703125,2801.703125,4957.984375,0,2019,Texas,,,,,,,,,,,,,,,
2019-10-01,10790.890625,3013.046875,2818.234375,4959.609375,0,2019,Texas,,,,,,,,,,,,,,,
2019-11-01,10642.390625,2956.390625,2773.8125,4912.1875,0,2019,Texas,,,,,,,,,,,,,,,
2019-12-01,10509.84375,2912,2767.875,4829.96875,0,2019,Texas,,,,,,,,,,,,,,,
2020-01-01,10607.234375,2966.3125,2795.96875,4844.953125,0,2020,Texas,,,,,,,,,,,,,,,
2020-02-01,10589.34375,2961.25,2776.09375,4852,0,2020,Texas,,,,,,,,,,,,,,,
2020-03-01,10557.015625,2953.46875,2773.015625,4830.53125,0,2020,Texas,,,,,,,,,,,,,,,
2020-04-01,10465.6875,2920.09375,2738.875,4806.71875,0,2020,Texas,,,,,,,,,,,,,,,
2020-05-01,10389.1875,2903.25,2707.875,4778.0625,0,2020,Texas,,,,,,,,,,,,,,,
2020-06-01,10532.28125,2940.828125,2722.8125,4868.640625,0,2020,Texas,,,,,,,,,,,,,,,
2020-07-01,10617.859375,2962.203125,2742.5625,4913.09375,0,2020,Texas,,,,,,,,,,,,,,,
2020-08-01,10519.171875,2920.140625,2724.5625,4874.46875,0,2020,Texas,,,,,,,,,,,,,,,
2020-09-01,10492.625,2900.71875,2721.203125,4870.703125,0,2020,Texas,,,,,,,,,,,,,,,
2020-10-01,10575.65625,2904.65625,2733.1875,4937.8125,0,2020,Texas,,,,,,,,,,,,,,,
2020-11-01,10562.078125,2875.109375,2716.125,4970.84375,0,2020,Texas,,,,,,,,,,,,,,,
2020-12-01,10557.328125,2859.671875,2727.6875,4969.96875,0,2020,Texas,,,,,,,,,,,,,,,
2021-01-01,10533.9375,2857.828125,2706.8125,4969.296875,0,2021,Texas,,,,,,,,,,,,,,,
2021-02-01,10053.2698412698,2720.28571428571,2577.69841269841,4755.28571428572,0,2021,Texas,,,,,,,,,,,,,,,
2021-03-01,10568.619047619,2864.20634920635,2714.65079365079,4989.76190476191,0,2021,Texas,,,,,,,,,,,,,,,
2021-04-01,10534.746031746,2864.1746031746,2689.28571428571,4981.28571428572,0,2021,Texas,,,,,,,,,,,,,,,
2021-05-01,10486.5873015873,2857.2380952381,2657.42857142857,4971.92063492064,0,2021,Texas,,,,,,,,,,,,,,,
2021-06-01,10351.8125,2840.828125,2613.015625,4897.96875,0,2021,Texas,,,,,,,,,,,,,,,
2015-12-01,29131,8320,7042,13769,1,2015,LA 1,12,37450,2575,1141,3857,747,1197,3417,2428,-414,379285.62,Dec,2016-03-01,FY16,354516.326666667
2015-12-01,26615,6925,5885,13805,3,2015,LA 3,12,31500,2449,298,3254,924,324,3057,2504,-364,320976.9,Dec,2016-03-01,FY16,365613.213333333
2015-12-01,1194,287,269,638,4,2015,LA 4,12,1500,128,18,67,74,19,80,170,-11,19724.88,Dec,2016-03-01,FY16,24821.9833333333
2015-12-01,7699,2101,1970,3628,5,2015,LA 5,12,9450,688,190,833,390,198,810,962,-206,102704.66,Dec,2016-03-01,FY16,140463.223333333
2015-12-01,88198,25387,22515,40296,7,2015,LA 7,12,106250,7078,1951,14294,2064,2143,12864,7508,-942,1008103.14,Dec,2016-03-01,FY16,1096255.59333333
2015-12-01,2927,756,828,1343,10,2015,LA 10,12,3900,266,83,152,255,93,167,568,-80,40890.19,Dec,2016-03-01,FY16,82934.6266666667
2015-12-01,5723,1641,1616,2466,11,2015,LA 11,12,6700,497,121,616,407,128,546,942,-91,70907.97,Dec,2016-03-01,FY16,137542.99
2015-12-01,69573,17396,14422,37755,12,2015,LA 12,12,81900,6061,887,8568,1880,978,8341,5103,-1085,839050.38,Dec,2016-03-01,FY16,745097.535
2015-12-01,25235,6302,5616,13317,13,2015,LA 13,12,30250,2241,178,2682,1201,197,2316,3103,-339,400731.8,Dec,2016-03-01,FY16,453074.201666667
2015-12-01,31119,8028,7905,15186,17,2015,LA 17,12,34400,2948,465,2815,1800,505,2865,4535,-824,350088.75,Dec,2016-03-01,FY16,662162.908333333
2015-12-01,2961,745,677,1539,19,2015,LA 19,12,3600,298,49,243,155,52,236,389,-75,45125.64,Dec,2016-03-01,FY16,56798.5383333333
2015-12-01,5017,1187,1213,2617,20,2015,LA 20,12,7200,484,114,264,325,130,188,895,-130,79669.96,Dec,2016-03-01,FY16,130680.441666667
2015-12-01,3717,952,989,1776,21,2015,LA 21,12,4600,383,119,152,298,133,156,700,-45,51926.49,Dec,2016-03-01,FY16,102208.166666667
2015-12-01,7224,1872,2019,3333,22,2015,LA 22,12,8050,745,156,380,591,170,361,1488,-85,96368.16,Dec,2016-03-01,FY16,217265.36
2015-12-01,4071,1115,935,2021,24,2015,LA 24,12,4550,388,29,575,123,29,566,340,-49,62042.04,Dec,2016-03-01,FY16,49643.9666666667
2015-12-01,71056,19425,17250,34381,26,2015,LA 26,12,84000,6341,985,9085,3014,1059,8817,7374,-614,812170.08,Dec,2016-03-01,FY16,1076690.03
2015-12-01,21100,5651,6026,9423,27,2015,LA 27,12,23700,2058,597,1097,1899,623,932,4471,-529,359755,Dec,2016-03-01,FY16,652818.161666667
